advertiser_id,product_id,cantidad,fecha_recom
2WPF1NXECF3G6NUMWDO7,5etj93,3,2023-04-22
2WPF1NXECF3G6NUMWDO7,b6r0i1,3,2023-04-22
2WPF1NXECF3G6NUMWDO7,00ga8c,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,02qhao,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,4vcn5d,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,5da8p6,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,boj69r,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,c1ah0e,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,eaf7bk,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,edgawy,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,hkgnre,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,jxqlz7,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,s9qni3,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,wv1ka4,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,y5oo7p,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,y90z0f,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,z7nmy5,2,2023-04-22
2WPF1NXECF3G6NUMWDO7,0ab8ts,1,2023-04-22
2WPF1NXECF3G6NUMWDO7,151b1x,1,2023-04-22
2WPF1NXECF3G6NUMWDO7,39m7cv,1,2023-04-22
5E325T5HYL61QSABVR5V,n76q39,4,2023-04-22
5E325T5HYL61QSABVR5V,3uz2ry,3,2023-04-22
5E325T5HYL61QSABVR5V,bngzct,3,2023-04-22
5E325T5HYL61QSABVR5V,riwoau,3,2023-04-22
5E325T5HYL61QSABVR5V,vt50c4,3,2023-04-22
5E325T5HYL61QSABVR5V,4kpp2k,2,2023-04-22
5E325T5HYL61QSABVR5V,apgv0b,2,2023-04-22
5E325T5HYL61QSABVR5V,drwcbw,2,2023-04-22
5E325T5HYL61QSABVR5V,f8m4m5,2,2023-04-22
5E325T5HYL61QSABVR5V,i8pzqi,2,2023-04-22
5E325T5HYL61QSABVR5V,mtluxp,2,2023-04-22
5E325T5HYL61QSABVR5V,muixf6,2,2023-04-22
5E325T5HYL61QSABVR5V,nuegnv,2,2023-04-22
5E325T5HYL61QSABVR5V,q26rdd,2,2023-04-22
5E325T5HYL61QSABVR5V,rf05b3,2,2023-04-22
5E325T5HYL61QSABVR5V,t5ujd9,2,2023-04-22
5E325T5HYL61QSABVR5V,v76zoq,2,2023-04-22
5E325T5HYL61QSABVR5V,zat5k1,2,2023-04-22
5E325T5HYL61QSABVR5V,1sbt0i,1,2023-04-22
5E325T5HYL61QSABVR5V,23fv9y,1,2023-04-22
62FIK8F2YT8JSFDBLEC9,63h7my,3,2023-04-22
62FIK8F2YT8JSFDBLEC9,cjzsuj,3,2023-04-22
62FIK8F2YT8JSFDBLEC9,vghuxs,3,2023-04-22
62FIK8F2YT8JSFDBLEC9,4bmxt1,2,2023-04-22
62FIK8F2YT8JSFDBLEC9,5a75br,2,2023-04-22
62FIK8F2YT8JSFDBLEC9,7g6ete,2,2023-04-22
62FIK8F2YT8JSFDBLEC9,816w0p,2,2023-04-22
62FIK8F2YT8JSFDBLEC9,alxbtr,2,2023-04-22
62FIK8F2YT8JSFDBLEC9,e0bwds,2,2023-04-22
62FIK8F2YT8JSFDBLEC9,eqj5s6,2,2023-04-22
62FIK8F2YT8JSFDBLEC9,hbj0w3,2,2023-04-22
62FIK8F2YT8JSFDBLEC9,irrk9f,2,2023-04-22
62FIK8F2YT8JSFDBLEC9,ivscek,2,2023-04-22
62FIK8F2YT8JSFDBLEC9,lyttha,2,2023-04-22
62FIK8F2YT8JSFDBLEC9,stumy1,2,2023-04-22
62FIK8F2YT8JSFDBLEC9,tqoxuo,2,2023-04-22
62FIK8F2YT8JSFDBLEC9,20zxlp,1,2023-04-22
62FIK8F2YT8JSFDBLEC9,2jacnf,1,2023-04-22
62FIK8F2YT8JSFDBLEC9,2zmk9p,1,2023-04-22
62FIK8F2YT8JSFDBLEC9,3jax7g,1,2023-04-22
6X20RDH567MX2X3TXYJ7,cmk364,3,2023-04-22
6X20RDH567MX2X3TXYJ7,r3u99h,3,2023-04-22
6X20RDH567MX2X3TXYJ7,4ekzj0,2,2023-04-22
6X20RDH567MX2X3TXYJ7,4j969v,2,2023-04-22
6X20RDH567MX2X3TXYJ7,8m4bqi,2,2023-04-22
6X20RDH567MX2X3TXYJ7,9rf7vt,2,2023-04-22
6X20RDH567MX2X3TXYJ7,dz4kbq,2,2023-04-22
6X20RDH567MX2X3TXYJ7,gfc4e1,2,2023-04-22
6X20RDH567MX2X3TXYJ7,gtpmkl,2,2023-04-22
6X20RDH567MX2X3TXYJ7,jop08q,2,2023-04-22
6X20RDH567MX2X3TXYJ7,udfm3t,2,2023-04-22
6X20RDH567MX2X3TXYJ7,2r66jg,1,2023-04-22
6X20RDH567MX2X3TXYJ7,3veq5z,1,2023-04-22
6X20RDH567MX2X3TXYJ7,4ntlsd,1,2023-04-22
6X20RDH567MX2X3TXYJ7,4vesw3,1,2023-04-22
6X20RDH567MX2X3TXYJ7,5m9de4,1,2023-04-22
6X20RDH567MX2X3TXYJ7,5ns87o,1,2023-04-22
6X20RDH567MX2X3TXYJ7,5op36z,1,2023-04-22
6X20RDH567MX2X3TXYJ7,6692b4,1,2023-04-22
6X20RDH567MX2X3TXYJ7,692erx,1,2023-04-22
8C88YB6E8YCGWU07HA7A,u2c2jz,3,2023-04-22
8C88YB6E8YCGWU07HA7A,uzdfz7,3,2023-04-22
8C88YB6E8YCGWU07HA7A,x9vr4k,3,2023-04-22
8C88YB6E8YCGWU07HA7A,3tcxsf,2,2023-04-22
8C88YB6E8YCGWU07HA7A,9m5cwq,2,2023-04-22
8C88YB6E8YCGWU07HA7A,a9zk9m,2,2023-04-22
8C88YB6E8YCGWU07HA7A,ajn09t,2,2023-04-22
8C88YB6E8YCGWU07HA7A,c3nhtl,2,2023-04-22
8C88YB6E8YCGWU07HA7A,edap34,2,2023-04-22
8C88YB6E8YCGWU07HA7A,f4jnan,2,2023-04-22
8C88YB6E8YCGWU07HA7A,h65ewh,2,2023-04-22
8C88YB6E8YCGWU07HA7A,obbiob,2,2023-04-22
8C88YB6E8YCGWU07HA7A,sthlun,2,2023-04-22
8C88YB6E8YCGWU07HA7A,twmsof,2,2023-04-22
8C88YB6E8YCGWU07HA7A,unjs1p,2,2023-04-22
8C88YB6E8YCGWU07HA7A,wn7sl7,2,2023-04-22
8C88YB6E8YCGWU07HA7A,xhw365,2,2023-04-22
8C88YB6E8YCGWU07HA7A,yxyi6f,2,2023-04-22
8C88YB6E8YCGWU07HA7A,01c8b9,1,2023-04-22
8C88YB6E8YCGWU07HA7A,17izpo,1,2023-04-22
AK81O7W3KGPEN8LABG2N,qwva9i,3,2023-04-22
AK81O7W3KGPEN8LABG2N,umarxt,3,2023-04-22
AK81O7W3KGPEN8LABG2N,vwvi2z,3,2023-04-22
AK81O7W3KGPEN8LABG2N,by8abq,2,2023-04-22
AK81O7W3KGPEN8LABG2N,dubjwt,2,2023-04-22
AK81O7W3KGPEN8LABG2N,e30xje,2,2023-04-22
AK81O7W3KGPEN8LABG2N,gjlqc7,2,2023-04-22
AK81O7W3KGPEN8LABG2N,nlsjnq,2,2023-04-22
AK81O7W3KGPEN8LABG2N,pf9ylb,2,2023-04-22
AK81O7W3KGPEN8LABG2N,rmdnxl,2,2023-04-22
AK81O7W3KGPEN8LABG2N,ucps03,2,2023-04-22
AK81O7W3KGPEN8LABG2N,x273up,2,2023-04-22
AK81O7W3KGPEN8LABG2N,zvkgzx,2,2023-04-22
AK81O7W3KGPEN8LABG2N,23b1ob,1,2023-04-22
